slug,translation,original
engines_afterburner_notice,,"You can use this tool to apply afterburner boost to engines parameters. Thrust will be increased for throttle positions greater than threshold value, same value will be set as a start point for flame animation (script should be inserted from Panels tab, and also variables replaced from Models tab).\nTable below represents thrust modifier (Y axis, from 0 to 300%) and throttle position (from 0 to 100%). Two lines are subsonic (black) and supersonic (red) speed. Be sure Black line stays between 100% and 200%, otherwise you will get too much power."
engines_afterburners_stages,,Current afterburner stages number: {0}
engines_afterburners_disabled,,Afterburners disabled!
engines_afterburners_table_missing,,"""N1 and Mach to Thrust"" table does not exists, default was used. You can activate Full import mode and import AIR data to get it, but that is not required."
engines_afterburners_consumption,,Current afterburner fuel consumption: {0} (thrust modifier: {1}%)
engines_afterburners_consumption_missing,,"Afterburner fuel consumption not found, default: {0} (thrust modifier: {1}%)"
engines_afterburners_threshold,,Current afterburner throttle threshold: {0}
engines_afterburners_threshold_missing,,"Afterburner throttle threshold not found, default: {0}"
engines_afterburner_warning_header,,You are going to apply afterburner thrust
engines_afterburner_warning_notice,,"It will affect engines output power on the highest throttle positions. You can't undone this operation, only way to restore original values - recover backup."
AIR FUNCTIONS,,
air_tbl_not_found,,No AIR conversion tables found
air_tbl_not_found_notice,,"File {0} does not exists.\nExtract folder ""airTbls"" from program archive into same directory, where EXE is stored."
airupdate_not_found,,AirUpdate.exe not found
airupdate_not_found_notice,,AirUpdate not found in Importer folder.\nClick this button to download and unpack archive from www.mudpond.org
air_dump_not_found,,No exported AIR data found
air_dump_notice,,File {0} does not exists.\nClick this button to launch AirUpdate and follow these steps:
air_dump_notice1,,"1. ""Select Air File"""
air_dump_notice2,,"2. Navigate to ""{0}"""
air_dump_notice3,,3. Select AIR file
air_dump_notice4,,"4. Check ""Full dump"" option"
air_dump_notice5,,"5. Press ""Dump"" button"
air_dump_notice6,,6. Close AirUpdate
air_no_values_to_import,,No AIR values require import
air_no_values_to_import_notice,,AIR and CFG values identical. You can try to insert [AERODYNAMICS] section if it missing without values activation.
air_new_val,,New val
air_old_val,,Current val
air_default_val,,Default val
air_loading_failed,,AIR tables loading failed
air_import_notice,,"Select valid AIR values to insert into CFG files. When you finish, AIR file can be removed.\nBut if some CFG values are missing - game may crash or aircraft will not appear in the list."
air_insert_values,,Insert AIR values
air_remove,,Remove AIR file
air_delete_warning_header,,AIR file remove warning
air_delete_warning_notice,,"You are going to remove AIR file. Be sure you have imported it values properly. You may experience game crashed because not all engines and flight model data contained in AIR file, so you have to add missing data manually (search for lines started with "";-"", remove these symbols and adjust line value manually if necessary).\nIf you fail to make it work, rename file ""{0}"" into ""{1}"" and regenerate JSON file so game will read its data again."
SYSTEMS TAB,,
systems_convert_lights,,Convert lights
systems_convert_lights_notice,,"To make lights work in MSFS, legacy lights values should be converted in new format. Light type and coordinates will be preserved."
systems_insert_lights,,Insert taxi lights
systems_insert_lights_notice,,You can attach taxi lights to landing gears automatically.\nLights position will be inaccurate and may require manual adjustments.
systems_no_light_issues,,No lights issues
FLIGHT MODEL TAB,,
fm_contact_point_data,,{0}ft between landing gear points
fm_fix_contact_points,,Fix contact points duplicates
fm_fix_contact_points_notice,,"Several contact points, attached to single retractable landing gear, can make it non functional. Script will move neighbor points in same position. If you have no problems with landing gears in the game - leave these checkboxes untouched."
fm_contact_points_issues,,No contact points issues
fm_contact_points_issues_notice,,"Contact points that possibly formatted incorrectly, press Edit button and fix values manually."
fm_fix_flight_model,,Fix flight model issues
fm_fix_flight_model_notice,,"Missing sensitive values may cause unpredictable result in the air. However, these values automatic calculation is inaccurate and may require manual adjustments."
fm_no_flight_model_issues,,No flight model issues
fm_value_generated_notice,,"{0} value was calculated as {1} from wing_span, you'll need to adjust it manually.\nIf after {2} insertion center of gravity will be broken, adjust first (longitudinal) value of empty_weight_cg_position (increase to move CG forward, decrease - backward)"
fm_value_generated_notice2,,"{0} value was calculated as {1} from wing_span and max_gross_weight, you'll need to adjust it manually"
fm_bad_contact_point,,Bad contact point coordinate: '{0}'
CFG SECTIONS,,
cfg_insert_sections,,Insert selected CFG sections
cfg_insert_cockpit_sections_notice,,"Sections, highlighted in red, responsible for external view instruments. Choose ""YES"" on the pop up to insert external instruments, you may need to adjust new values manually."
cfg_insert_flt_sections_notice,,"This section responsible for avionics state on the runway. If you have problem with landing gears, engines, parking brake right after you start the game on the ground - choose only critical or all available options. However, these fixes does not affect avionics state when you starting flight in the air."
cfg_insert_sections_notice,,"All variables will have default values\nPress YES to insert and activate default values, it may affect aircraft behaviour in the game\nPress NO to insert and deactivate default values\nPress CANCEL to abort insertion"
cfg_insert_sections_header,,{0} sections will be inserted into {1}
cfg_insert_section_header,,{0} section will be inserted into {1}
TEXTURES TAB,,
textures_convert_notice,,"In most cases BMP textures should be converted into DDS format, but not always. If some of the textures can't be converted by any of available tools, you need to make it manually."
textures_no_issues,,No textures issues
textures_imagetools,,BMP to DDS by ImageTools
textures_nvdxt,,BMP to DDS by nvdxt
textures_conversion_process,,{0} of {1} textures converted
MODEL TAB,,
model_format_is_not_compatible,,"{0} format is not compatible with MSFS, 3D model may not be loaded by the game"
model_remove_clickable,,Remove interior clickable switches
model_remove_clickable_notice,,"This is fix for the crash issue that no longer appear in latest version of the game. However, you can use it to remove clickable rectangles from the cockpit completely."
model_no_clickable_switches,,No models with clickable switches
model_no_interior_model,,No interior models found!
model_no_interior_model_warning,,"Interior (cockpit) is not configured for this aircraft. It will cause game crash. You should fix it before launch the game, otherwise delete this aircraft to avoid issues."
model_remove_clickable_warning,,You will be no longer able to use clickable elements inside of the cockpit. You can restore original interior model by clicking Restore Backup button.
model_remove_clickable_warning_header,,You are going to remove clickable switches
model_clickable_removal_failed,,Clickable switches removal from {0} failed
model_replace_afterburner,,Replace broken afterburner variables
model_replace_afterburner_notice,,"To make possible for custom script (can be injected on Panels tab) to control afterburner animation, broken variables should be replaced. This process can take up to several minutes, so be patient. If models disappear from the list after processing, replacement was successful."
model_no_afterburner,,No broken afterburner variables found
model_no_exterior_model,,No exterior models found!
models_processing_file,,Processing {0}
SOUNDS TAB,,
sounds_toggle_notice,,"You can toggle available sound samples and then press Update button below the list. Physically, files stay on the hard drive and can be enabled anytime later."
sounds_update,,Update sounds list
sounds_not_found,,No sounds lists found
sounds_tone_volume,,Tone volume ({0} - silent; {1} - normal; {2} - loud)
sounds_insert_tone,,Insert glider variometer tone
sounds_remove_tone,,Remove glider variometer tone
sounds_warning,,Warning
sounds_remove_notice,,"File ""\sound\sound.xml"" will be deleted. If it variometer tone only - you can insert it again after this file will be removed."
PANEL TAB,,
panel_dll_detected,,Aircraft folder contains DLL/GAU files - avionics and/or animation may not work in the game
panel_extract_gauges,,Extract panel gauges resources
panel_no_panel,,No panel resources found
panel_extract_fsx_resources,,Bulk extract gauges resources
panel_fsx_extracted,,Default FSX gauges resources extracted
panel_import_gauges,,Import panel gauges
panel_force_gauge_background,,Force gauge background image (check it if you get black holes on gauges places)
panel_ignore_errors,,"Hide conversion errors pop ups (they still will be logged in "".Panel.log.txt"" file)"
panel_disable_logging,,"Disable logging ("".Panel.log.txt"" file will be not created/updated)"
panel_gamma_correction,,Gamma correction ({0} - bright; {1} - normal; {2} - dark)
panel_preserve_size,,Leave panel size as it set in XML files (uncheck if gauges appear smaller than should)
panel_scale_up_gauge,,Scale gauge up to fit image size (uncheck if gauges too large)
panel_taxi_lights_switch,,"Insert taxi lights automatic switch (turning off when gears lever in upper position, on - lower)"
panel_not_found,,No panels gauges found
panel_transparent_mask,,Force mask background transparency (uncheck if gauges elements missing black backgrounds)
panel_extract_ac_cabs_notice,,"Before gauges conversion can be applied, panel data extraction should be performed. Content of CAB files inside of aircraft panel folder(s) will be extracted and then used by the program as data source (usually XML and BMP files). Sometimes, panel folder does not contain any CAB files as gauges sources already extracted so you don't need to do anything.\nIf you want to edit some of the images or gauges parameters, you need apply changes to the content of extracted folders, not conversion results."
panel_extract_fsx_cabs_notice,,"If you have Flight SImulator X installed, you need to apply default panel resources extraction at least once, so if any of add-on aircraft will require default gauges, program will be able to load this data and use for conversion.\nAlso, some FSX aircraft installers copy gauges data into Gauges folder outside of aircraft directory, so if you will get error messages in conversion process about missing resources, try to apply this function again. Keep all aircraft in single folder with proper structure (should contain Gauges and SimObjects) so program will be able to find newerly added resources.\nExtracted files will be stored in the ""{0}"" directory."
panel_convert_gauges_notice,,"Panels conversion script will parse "".panel.cfg"" file(s), then load all required XMLs and convert their data into modern format - HTML/JS/CSS. You can see some options under panels list that will affect conversion results.\nIt is recommended to check them all, however you can disable some of them to solve minor issues. If conversion failed and you can't see any/some gauges at all in the cockpit - these option will not help, it may happen because these gauges contained in DLL/GAU files and can't be extracted, or converted script(s) has an error inside that probably will be fixed in next program update."
panel_extracting_cab,,Extracting {0}
panel_current_fsx_path,,Current FSX path is {0}
panel_fsx_extract_notice1,,Press YES to extract CAB files from this folder (DLL/GAU files not supported and will be ignored)
panel_fsx_extract_notice2,,Press NO to select FSX installation folder
panel_fsx_extract_notice3,,Press CANCEL to abort
panel_fsx_header,,FSX CAB files extractions
panel_gauges_not_found,,Gauges or SimObjects\Airplanes folder not found in {0}
TextExpressionButton,,Test FSX Expressions converter
panel_broken_switches,,Vote for clickable switches fix wishlist item 
panel_broken_switches_notice,,"Since one of the past MSFS updates clickable switches and other interactive elements no longer work in the legacy cockpits. This issue can't be solved by any kind of model or config files manipulations. If you want this issue to be fixed by developers, press the button below and vote for the wishlist item."
panel_afterburner_vars,,Insert custom afterburners script (uncheck if model does not have afterburners animation)
ABOUT TAB,,
about_colored_header,,Colored labels
about_links_header,,Links and credits
about_colored_green,,enabled value/section or no issues detected
about_colored_orange,,"disabled value/section but probably not required, possible issues but need to be checked ingame"
about_colored_red,,"wrong values or missing sections, some critical issues detected and should be fixed for normal gameflow"
about_translation_header,,UI Translation
UPDATE FUNCTIONS,,
update_auto,,Update automatically
update_manually,,Update manually
update_current_version,,You are using latest program version ({0})
update_applying_version,,Applying update ver{0}
update_cant_delete_backup,,Can't delete backup file
update_cant_delete_exe,,Can't delete old EXE file
update_failed,,Update failed
update_available,,Update ver{0} available
